code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.002261,2017-04-28,2017-03-31,0.700039,128.564194,0.879618,102.317171,0.229298,0.068901
sz.002261,2017-08-21,2017-06-30,1.319987,136.364975,1.462050,123.114844,0.430131,0.128629
sz.002261,2017-10-30,2017-09-30,1.927932,140.046461,2.152961,125.408660,0.623803,0.186601
sz.002261,2018-04-27,2018-03-31,0.514665,174.871033,0.616812,145.911652,0.168347,0.054265
sz.002261,2018-08-27,2018-06-30,1.027790,175.133066,1.106466,162.680103,0.345362,0.111673
sz.002261,2018-10-27,2018-09-30,1.562131,172.840821,1.672528,161.432313,0.536320,0.180527
sz.002261,2019-04-27,2019-03-31,0.544488,165.292831,0.551888,163.076529,0.166691,0.079754
sz.002261,2019-08-30,2019-06-30,1.162190,154.880059,1.315337,136.847072,0.371327,0.174072
sz.002261,2019-10-12,2019-09-30,1.740407,155.136138,2.058016,131.194299,0.587030,0.274750
sz.002261,2020-04-14,2020-03-31,0.647216,139.057102,0.987991,91.093913,0.222000,0.100832
sz.002261,2020-07-15,2020-06-30,1.321978,136.159594,2.244507,80.195774,0.431277,0.195269
sz.002261,2020-10-23,2020-09-30,2.086946,129.375627,2.444587,110.448112,0.657148,0.303926
sz.002298,2017-04-26,2017-03-31,0.343610,261.925172,0.270019,333.309726,0.121768,0.064924
sz.002298,2017-08-24,2017-06-30,0.725010,248.272543,0.577411,311.736522,0.249071,0.138668
sz.002298,2017-10-26,2017-09-30,1.157043,233.353410,0.926025,291.568939,0.392000,0.220101
sz.002298,2018-04-27,2018-03-31,0.522821,172.143148,0.255031,352.897604,0.120916,0.073760
sz.002298,2018-08-22,2018-06-30,1.119730,160.753041,0.539423,333.690026,0.271781,0.164607
sz.002298,2018-10-25,2018-09-30,1.742116,154.983975,0.779154,346.529652,0.443514,0.263720
sz.002298,2019-04-26,2019-03-31,0.521600,172.546036,0.359128,250.607262,0.170827,0.087072
sz.002298,2019-08-28,2019-06-30,1.206894,149.143221,0.689121,261.202218,0.377686,0.196856
sz.002298,2019-10-29,2019-09-30,1.981129,136.285923,1.135344,237.813368,0.612417,0.320970
sz.002298,2020-04-29,2020-03-31,0.389300,231.184263,0.273233,329.389574,0.121167,0.069786
sz.002298,2020-07-22,2020-06-30,0.864081,208.313713,0.661485,272.115024,0.291964,0.167273
sz.002298,2020-10-15,2020-09-30,1.397515,193.200050,1.003680,269.010145,0.463805,0.267739
sz.002316,2017-04-29,2017-03-31,0.123136,730.900398,0.516913,174.110639,0.036754,0.029465
sz.002316,2017-08-24,2017-06-30,0.429585,419.008806,2.168673,83.000068,0.139887,0.111652
sz.002316,2017-10-28,2017-09-30,0.531369,508.121440,2.907004,92.879128,0.179403,0.115803
sz.002316,2018-04-27,2018-03-31,1.296793,69.401998,4.343515,20.720544,0.503230,0.241882
sz.002316,2018-08-04,2018-06-30,2.821482,63.796255,9.364046,19.222460,1.172390,0.556180
sz.002316,2018-10-27,2018-09-30,4.747536,56.871609,18.875111,14.304552,1.937006,0.918886
sz.002316,2019-04-26,2019-03-31,1.780765,50.540066,6.334143,14.208710,0.715932,0.304668
sz.002316,2019-08-24,2019-06-30,3.624759,49.658479,13.575048,13.259621,1.397003,0.636432
sz.002316,2019-10-28,2019-09-30,5.773383,46.766342,23.079183,11.698854,2.127309,0.969639
sz.002316,2020-04-30,2020-03-31,1.621359,55.508992,4.309963,20.881852,0.498368,0.243183
sz.002316,2020-08-29,2020-06-30,3.619315,49.733165,9.162198,19.645941,1.071385,0.543780
sz.002316,2020-10-31,2020-09-30,5.226432,51.660481,13.670953,19.749903,1.579871,0.811019
sz.002380,2017-04-27,2017-03-31,0.218684,411.552371,0.353054,254.918678,0.048686,0.039189
sz.002380,2017-07-28,2017-06-30,0.572546,314.385265,0.945079,190.460226,0.130330,0.104970
sz.002380,2017-10-25,2017-09-30,0.948641,284.617639,1.522802,177.304723,0.207880,0.167384
sz.002380,2018-04-25,2018-03-31,0.194915,461.740337,0.380765,236.366394,0.046684,0.037377
